1 0 2 0 0 0 B 6 8 0 0 5 4 C 0 0
E 0 0 B 0 8 A 0 C 0 9 0 0 7 0 0
0 C 0 0 0 0 0 0 0 2 7 0 0 F 0 9
0 0 9 0 0 7 0 0 0 0 A 0 E 8 5 B
0 A 0 G 1 0 0 2 B 4 0 6 0 0 0 8
0 3 0 0 0 0 0 9 0 0 0 0 0 0 0 0
B 9 4 2 0 5 0 E 0 0 D 0 3 0 0 0
0 0 0 0 0 0 8 G 3 9 2 0 0 4 0 0
0 0 1 0 0 A F 3 9 6 0 0 0 0 0 0
0 0 0 6 0 9 0 0 G 0 C 0 2 B 4 E
0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0
2 0 0 0 G 0 E 8 1 0 0 D C 0 6 0
5 4 F 1 0 E 0 0 0 0 6 0 0 G 0 0
6 0 G 0 0 2 5 0 0 0 0 0 0 0 C 0
0 0 C 0 0 G 0 A 0 7 1 0 D 0 0 4
0 0 A E F 0 0 B 4 3 0 0 0 5 0 1
